base,pos,gw,freq
against the law,lexical_chunk,none,B2
have anything/nothing/something against sb/sth,lexical_chunk,none,C1
"against sb's advice/wishes, etc.",lexical_chunk,none,C2
against all odds,lexical_chunk,none,C2
age,noun,HOW OLD,A1
age,noun,PERIOD,B2
age,noun,OLD,C2
"at the tender age of 8/17/25, etc.",lexical_chunk,none,C2
aged,adjective,none,A2
agency,noun,BUSINESS,B1
agency,noun,ORGANIZATION,C1
agenda,noun,MEETING,C1
agenda,noun,IMPORTANT SUBJECTS,C2
agent,noun,BUSINESS,B2
agent,noun,SECRET INFORMATION,B2
ages,noun,none,B1
aggression,noun,none,C1
aggressive,adjective,VIOLENT,B2
aggressive,adjective,DETERMINED,C1
aggressively,adverb,none,B2
ago,adverb,none,A2
long ago,lexical_chunk,none,C1
agree,verb,SAME OPINION,A2
agree,verb,DECIDE,B1
agree,verb,SAY YES,B2
agree,verb,BE THE SAME,C1
agree with sth,lexical_chunk,none,B2
agreement,noun,DECISION,B2
agreement,noun,SAME OPINION,B2
agriculture,noun,none,B2
ahead,adverb,IN FRONT,B1
ahead,adverb,FUTURE,B1
ahead,adverb,MORE POINTS,B2
ahead of time/schedule,lexical_chunk,none,C1
ahead,adjective,MORE PROGRESS,C2
aid,noun,HELP,C1
aid,noun,SUPPLIES,C1
with the aid of sth,lexical_chunk,none,C1
aid,noun,EQUIPMENT,C1
aid,verb,none,C1
aim,noun,none,B1
aim to do sth,lexical_chunk,none,B1
be aimed at sb,lexical_chunk,none,B2
be aimed at doing sth,lexical_chunk,none,C2
air,noun,AIRCRAFT,A2
air,noun,GAS,A2
the air,lexical_chunk,none,B2
on the air,lexical_chunk,none,C1
air,noun,QUALITY,C2
clear the air,lexical_chunk,none,C2
vanish/disappear into thin air,lexical_chunk,none,C2
a breath of fresh air,lexical_chunk,none,C2
air conditioning,noun,none,B1
aircraft,noun,none,B2
air force,noun,none,B1
airline,noun,none,B1
airplane,noun,none,A2
airport,noun,none,A2
alarm,noun,WARNING,B1
alarm,noun,WAKING,B1
alarm,noun,WORRY,C2
alarm,verb,none,C1
alarm clock,noun,none,A2
alarming,adjective,none,C1
albeit,conjunction,none,C2
album,noun,BOOK,A2
album,noun,MUSIC,B1
alcohol,noun,none,A2
alcoholic,adjective,none,B1
alcoholic,adjective,PERSON,C2
alcoholic,noun,none,C2
alert,adjective,none,C1
alert,verb,none,C2
alert,noun,none,C1
alike,adjective,none,B1
alike,adverb,SIMILAR,B2
alike,adverb,BOTH,B2
alive,adjective,LIVING,B1
be alive and well/kicking,lexical_chunk,none,C2
alive,adjective,PLACE,C2
alive,adjective,CONTINUING,C2
all,determiner,EVERY ONE,A1
all,pronoun,EVERY ONE,A1
all,determiner,WHOLE TIME,A1
all,pronoun,WHOLE TIME,A1
all,determiner,WHOLE AMOUNT,A2
all,pronoun,WHOLE AMOUNT,A2
all sorts of sth,lexical_chunk,none,A2
all the best,lexical_chunk,none,A2
all the time,lexical_chunk,none,A2
all,determiner,ONLY THING,B1
all,pronoun,ONLY THING,B1
at all,lexical_chunk,none,B1
all is well,lexical_chunk,none,B1
and all (that),lexical_chunk,none,B1
in all,lexical_chunk,none,B2
 all of a sudden,lexical_chunk,none,B2
all hours,lexical_chunk,none,C1
all at once,lexical_chunk,none,C1
all things considered,lexical_chunk,none,C1
for all,lexical_chunk,none,C2
all,adverb,COMPLETELY,A2
all over,lexical_chunk,none,A2
 all along,lexical_chunk,none,B2
 all in all,lexical_chunk,none,B2
all over the place,lexical_chunk,none,B2
be all very well,lexical_chunk,none,C1
be all set,lexical_chunk,none,C1
"all the better/easier/more exciting, etc.",lexical_chunk,none,C2
all but,lexical_chunk,none,C2
allegation,noun,none,C1
allege,verb,none,C2
alleged,adjective,none,C1
allegedly,adverb,none,C2
alliance,noun,none,C2
allied,adjective,none,C2
allocate,verb,none,C1
allocation,noun,PROCESS,C2
allocation,noun,PART,C2
allow,verb,GIVE PERMISSION,B1
allow,verb,TIME/MONEY,C1
allow,verb,MAKE POSSIBLE,C1
allow,verb,NOT PREVENT,C2
allowance,noun,MONEY,C1
make allowances for sb/sth,lexical_chunk,none,C2
all right,adjective,WITHOUT PROBLEMS,A1
all right,adverb,WITHOUT PROBLEMS,A1
all right,adjective,WELL,A2
all right,adverb,WELL,A2
that's all right,lexical_chunk,none,A2
all right,adjective,PERMISSION,A2
all right,adverb,PERMISSION,A2
all right,adjective,GOOD ENOUGH,B1
all right,adverb,GOOD ENOUGH,B1
all right,exclamation,none,A1
ally,noun,PERSON,C1
ally,noun,COUNTRY,C2
almost,adverb,none,A2
alone,adjective,WITHOUT PEOPLE,A2
alone,adverb,WITHOUT PEOPLE,A2
leave sb alone,lexical_chunk,none,B2
let alone,lexical_chunk,none,C1
alone,adjective,ONLY ONE,C2
alone,adverb,ONLY ONE,C2
along,preposition,DIRECTION,A2
along,preposition,NEXT TO,B1
along the lines of sth,lexical_chunk,none,C2
along,adverb,FORWARD,B1
along,adverb,WITH YOU,B1
along,adverb,PARTICULAR PLACE,B2
along with sb/sth,lexical_chunk,none,B2
alongside,adverb,NEXT TO,C1
alongside,preposition,NEXT TO,C1
alongside,adverb,WITH,C1
alongside,preposition,WITH,C1
aloud,adverb,none,B1
alphabet,noun,none,B1
alphabetical,adjective,none,B2
already,adverb,BEFORE NOW,A2
already,adverb,EARLY,B1
also,adverb,none,A1
alter,verb,none,B2
alteration,noun,none,C1
"alternate days/weeks/years, etc.",lexical_chunk,none,C1
alternate,verb,none,C1
alternative,noun,none,B2
alternative,adjective,DIFFERENT PLAN,B2
alternative,adjective,NOT USUAL,B2
alternatively,adverb,none,B2
although,conjunction,BUT,B1
although,conjunction,DESPITE,B1
altogether,adverb,TOTAL,B1
altogether,adverb,COMPLETELY,B2
altogether,adverb,GENERALLY,B2
aluminum,noun,none,B2
always,adverb,EVERY TIME,A1
always,adverb,UNTIL NOW,A2
always,adverb,FOREVER,A2
can/could always do sth,lexical_chunk,none,B1
always,adverb,MANY TIMES,B2
a.m.,adverb,none,A1
amateur,adjective,none,C1
amateur,noun,HOBBY,C1
amateur,noun,NO SKILL,C1
amazed,adjective,none,B1
amazement,noun,none,B2
amazing,adjective,GOOD,A2
amazing,adjective,SURPRISING,B1
amazingly,adverb,none,B1
ambassador,noun,none,B2
ambiguity,noun,none,C2
ambiguous,adjective,none,C2
ambition,noun,HOPE,B1
ambition,noun,STRONG FEELING,B2
ambitious,adjective,PERSON,B2
ambitious,adjective,PLAN,B2
ambulance,noun,none,B1
amend,verb,none,C2
amendment,noun,none,C1
amid,preposition,WHILE,C1
amid,preposition,AMONG,C2
among,preposition,IN THE MIDDLE,B2
among,preposition,IN A GROUP,B2
among other things,lexical_chunk,none,B2
"among the best/worst/biggest, etc.",lexical_chunk,none,B2
among,preposition,DIVIDE,C1
amount,noun,none,B1
ample,adjective,none,C1
amuse,verb,MAKE LAUGH,B2
amuse,verb,KEEP INTERESTED,B2
amused,adjective,FUNNY,B2
keep sb amused,lexical_chunk,none,B2
amusement,noun,FEELING,B2
amusement,noun,ENTERTAINMENT,B2
amusing,adjective,none,B1
an,determiner,none,A1
analogous,adjective,none,C2
analogy,noun,none,C2
analysis,noun,none,B2
analyst,noun,none,B2
analytical,adjective,none,C1
analyze,verb,none,B2
ancestor,noun,none,B2
anchor,noun,BOAT,C2
anchor,noun,SUPPORT,C2
anchor,noun,JOB,C2
anchor,verb,BOAT,C2
anchor,verb,FASTEN,C2
ancient,adjective,none,B1
and,conjunction,ALSO,A1
and,conjunction,AFTER,A1
and,conjunction,NUMBERS,A1
and,conjunction,AFTER VERB,A2
and so on,lexical_chunk,none,B1
and,conjunction,EMPHASIZE,B1
angel,noun,none,B1
anger,noun,none,B2
angle,noun,SPACE,C1
at/on an angle,lexical_chunk,none,C1
angle,noun,DIRECTION,C1
angle,noun,WAY OF THINKING,C1
angrily,adverb,none,B1
angry,adjective,none,A2
animal,noun,NOT A HUMAN,A1
animal,noun,NOT A PLANT,B2
animated,adjective,FILM,B1
animated,adjective,EXCITEMENT,C2
animation,noun,none,B1
ankle,noun,none,B1
anniversary,noun,none,B1
announce,verb,none,B1
announcement,noun,none,B1
annoy,verb,none,B1
annoyance,noun,none,C1
annoyed,adjective,none,B1
annoying,adjective,none,B1
annual,adjective,none,B1
annually,adverb,none,B2
anonymous,adjective,none,C2
another,determiner,ADDITIONAL,A2
another,pronoun,ADDITIONAL,A2
another,determiner,DIFFERENT,A2
another,pronoun,DIFFERENT,A2
one another,lexical_chunk,none,B1
at one time or another,lexical_chunk,none,C2
answer,noun,REACTION,A1
answer,noun,TEST,A2
answer,noun,DOOR/TELEPHONE,A2
answer,noun,SOLUTION,B1
answer,verb,REACT,A1
answer,verb,DOOR/PHONE,A2
answer,verb,TEST,B1
ant,noun,none,B1
antibiotic,noun,none,C2
anticipate,verb,none,C1
anticipation,noun,WAITING,C2
in anticipation (of),lexical_chunk,none,C2
antique,noun,none,B1
antique,adjective,none,B1
antisocial,adjective,BEHAVIOR,C1
antisocial,adjective,PERSON,C1
anxiety,noun,none,B2
anxious,adjective,WORRIED,B1
anxious,adjective,EAGER,B2
anxiously,adverb,none,B2
any,determiner,SOME,A1
any,pronoun,SOME,A1
any,determiner,NOT IMPORTANT WHICH,A1
any,pronoun,NOT IMPORTANT WHICH,A1
any,adverb,none,B1
anybody,pronoun,IN QUESTIONS/NEGATIVES,A2
anybody,pronoun,ANY PERSON,B1
anyhow,adverb,DESPITE,B2
anyhow,adverb,EARLIER SUBJECT,B2
anyhow,adverb,MORE IMPORTANTLY,B2
anyhow,adverb,CHANGING STATEMENT,C1
anymore,adverb,none,A2
anyone,pronoun,IN QUESTIONS/NEGATIVES,A2
anyone,pronoun,ANY PERSON,B1
anything,pronoun,IN QUESTIONS/NEGATIVES,A1
anything,pronoun,NO MATTER WHICH,A1
or anything,lexical_chunk,none,B2
anything like,lexical_chunk,none,B2
anyway,adverb,DESPITE,A2
anyway,adverb,CHANGE SUBJECT,A2
anyway,adverb,MORE IMPORTANTLY,B1
anywhere,adverb,ANY PLACE,A2
anywhere,adverb,IN QUESTIONS/NEGATIVES,A2
not/never get anywhere,lexical_chunk,none,B2
anywhere near sth,lexical_chunk,none,C1
apart from,lexical_chunk,none,B1
apart,adverb,SEPARATE,B1
apart,adverb,RELATIONSHIP,B2
apart,adverb,INTO PIECES,B2
be poles apart,lexical_chunk,none,C2
apartment,noun,none,A2
apartment building,noun,none,A2
apologetic,adjective,none,C2
apologize,verb,none,B1
apology,noun,none,B1
apostrophe,noun,none,B2
appalling,adjective,none,C2
apparent,adjective,OBVIOUS,B2
apparent,adjective,SEEMS TRUE,C1
apparently,adverb,AS HEARD/READ,B2
apparently,adverb,SEEMS TRUE,B2
appeal,noun,QUALITY,B2
appeal,noun,REQUEST,C2
appeal,verb,ATTRACT,B2
appeal,verb,REQUEST,C1
appear,verb,BE SEEN,B1
"appear in/at/on, etc.",lexical_chunk,none,B1
appear,verb,SEEM,B1
it appears (that),lexical_chunk,none,B2
appear,verb,BECOME AVAILABLE,B2
it would appear (that),lexical_chunk,none,C1
appearance,noun,WAY YOU LOOK,B1
appearance,noun,IN PUBLIC,B2
appearance,noun,BECOMING AVAILABLE,B2
appetite,noun,FOOD,C1
an appetite for something,lexical_chunk,none,C2
applaud,verb,CLAP,C1
applaud,verb,PRAISE,C2
applause,noun,none,C1
round of applause,lexical_chunk,none,C2
apple,noun,none,A1
appliance,noun,none,C1
application,noun,REQUEST,B1
application,noun,COMPUTER SOFTWARE,B2
application,noun,USE,C2
apply,verb,REQUEST,B1
apply,verb,AFFECT,B2
apply,verb,USE,C1
apply yourself,lexical_chunk,none,C2
appoint,verb,none,C1
appointment,noun,none,A2
appointment,noun,JOB,C2
appreciate,verb,VALUE,B2
would appreciate,lexical_chunk,none,B2
I/We appreciate...,lexical_chunk,none,B2
appreciate,verb,UNDERSTAND,C2
appreciation,noun,none,B2
approach,verb,COME CLOSE,B2
approach,verb,DEAL WITH,B2
approach,noun,METHOD,B2
approach,noun,COMING CLOSER,B2
appropriate,adjective,none,B2
appropriately,adverb,none,B2
approval,noun,GOOD OPINION,B2
approval,noun,PERMISSION,B2
approve,verb,AGREE,B1
approve,verb,GOOD OPINION,B2
approximate,adjective,none,B2
approximately,adverb,none,B1
April,noun,none,A1
arbitrary,adjective,none,C2
arch,noun,none,C2
arch,verb,none,C2
archaeologist,noun,none,C1
archaeology,noun,none,C1
architect,noun,none,B1
architecture,noun,STYLE,B1
architecture,noun,SUBJECT,B1
area,noun,REGION,A2
area,noun,PART,B1
area,noun,SUBJECT,B2
argue,verb,DISAGREE,B1
argue,verb,GIVE REASONS,B2
argument,noun,DISAGREEMENT,B1
argument,noun,REASON,B2
arid,adjective,none,C2
arise,verb,none,C1
arm,noun,BODY,A1
arm,noun,CHAIR,C2
arm in arm,lexical_chunk,none,C2
(keep sb) at arm's length,lexical_chunk,none,C2
armchair,noun,none,A2
armed,adjective,WEAPONS,B2
armed with sth,lexical_chunk,none,C2
the army,lexical_chunk,none,B1
army,noun,ORGANIZED GROUP,C2
around,preposition,IN A CIRCLE/CIRCULAR MOVEMENT,A2
around,preposition,TO OR IN A PLACE,A2
around,preposition,APPROXIMATELY,A2
around the clock,lexical_chunk,none,C1
around,adverb,TO/IN A PLACE,A2
around,adverb,IN A CIRCLE/CIRCULAR MOVEMENT,B1
around,adverb,OPPOSITE DIRECTION,B1
be around,lexical_chunk,none,B2
around,adverb,EXISTING,C2
arouse,verb,none,C2
arrange,verb,PLAN,B1
arrange,verb,PUT IN POSITION,B2
arrangement,noun,PLANS,B1
arrangement,noun,AGREEMENT,B2
arrangement,noun,POSITION,B2
arrest,verb,none,B1
arrest,noun,none,B2
arrival,noun,none,B1
arrival,noun,NEW PERSON/THING,C1
arrival,noun,BECOME AVAILABLE,C2
arrive,verb,REACH A PLACE,A2
"arrive at an solution/conclusion/answer, etc.",lexical_chunk,none,C2
arrogant,adjective,none,B2
arrow,noun,SYMBOL,B2
arrow,noun,WEAPON,B2
art,noun,"PAINTINGS/DRAWINGS, ETC.",A2
arts,lexical_chunk,none,B2
arts,lexical_chunk,none,C2
article,noun,NEWSPAPER,B1
article,noun,GRAMMAR,B1
artificial,adjective,NOT NATURAL,B2
artificial,adjective,NOT SINCERE,C2
artificial intelligence,noun,none,C2
artificially,adverb,none,B2
artist,noun,none,A2
artistic,adjective,CREATIVE ABILITY,B2
artistic,adjective,RELATING TO ART,B2
as,adverb; preposition,JOB,A1
as well,lexical_chunk,none,A1
as well as,lexical_chunk,none,A2
as,adverb; preposition,LIKE,A2
as ... as,lexical_chunk,none,A2
"as much/quickly/soon, etc. as possible",lexical_chunk,none,A2
as usual,lexical_chunk,none,A2
as,adverb; preposition,BEING,B1
as soon as,lexical_chunk,none,B1
as long as,lexical_chunk,none,B1
as for,lexical_chunk,none,B2
as a result of sth,lexical_chunk,none,B2
as a whole,lexical_chunk,none,B2
as a matter of fact,lexical_chunk,none,B2
as follows,lexical_chunk,none,B2
as if/as though,lexical_chunk,none,B2
as far as sb is concerned,lexical_chunk,none,B2
as far as sth is concerned,lexical_chunk,none,B2
as far as I know,lexical_chunk,none,B2
as it happens,lexical_chunk,none,C1
as many as,lexical_chunk,none,C1
as yet,lexical_chunk,none,C1
as a consequence,lexical_chunk,none,C1
as the/its name implies,lexical_chunk,none,C2
as opposed to,lexical_chunk,none,C2
as it stands,lexical_chunk,none,C2
as,conjunction,BECAUSE,A2
as,conjunction,WHILE,B1
as,conjunction,LIKE,B1
ashamed,adjective,EMBARRASSED,B1
be ashamed of sb,lexical_chunk,none,B2
aside,adverb,MOVE TO SIDE,B2
aside,adverb,SAVE,B2
aside from sth,lexical_chunk,none,B2
ask,verb,QUESTION,A1
ask,verb,INVITE,A2
ask,verb,REQUEST,B1
ask,verb,WANT SOMETHING,B1
ask,verb,WANT PERMISSION,B1
Don't ask!,lexical_chunk,none,B2
Don't ask me,lexical_chunk,none,B2
if you ask me,lexical_chunk,none,C2
ask yourself sth,lexical_chunk,none,C2
asleep,adjective,SLEEPING,B1
asleep,adjective,FEELING,C2
fast asleep,lexical_chunk,none,C2
aspect,noun,none,B2
aspiration,noun,none,C2
aspire to (do) sth,lexical_chunk,none,C2
aspirin,noun,none,B1
"an aspiring writer/actor/artist, etc.",lexical_chunk,none,C2
assault,noun,none,C2
assault,verb,none,C2
assemble,verb,BUILD,C2
assemble,verb,GROUP,C2
assembly,noun,GROUP,C2
assembly,noun,BUILD,C2
assert,verb,none,C1
assert yourself,lexical_chunk,none,C2
"assert your authority/control/independence, etc.",lexical_chunk,none,C2
assertive,adjective,none,C2
assess,verb,none,B2
assessment,noun,none,B2
asset,noun,USEFUL,C1
asset,noun,WORTH MONEY,C1
assign,verb,none,C1
assign sb to sth,lexical_chunk,none,C2
assignment,noun,none,B1
assist,verb,none,B2
assistance,noun,none,B2
assistant,noun,none,B1
be associated with sth,lexical_chunk,none,B2
associate,verb,TWO THINGS/PEOPLE,C1
associate with sb,lexical_chunk,none,C2
association,noun,none,B2
in association with,lexical_chunk,none,C1
association,noun,CONNECTION,C2
assume,verb,none,B2
"assume control/power/responsibility, etc.",lexical_chunk,none,C2
assumption,noun,none,C1
assurance,noun,PROMISE,C1
assurance,noun,CONFIDENCE,C2
assure,verb,none,B2
assure,verb,MAKE CERTAIN,C1
astonished,adjective,none,B2
astonishing,adjective,none,B2
astonishment,noun,none,B2
astronomy,noun,none,C2
at,preposition,PLACE,A1
at,preposition,TIME,A1
at,preposition,DIRECTION,A1
at,preposition,E-MAIL ADDRESS,A1
at,preposition,CAUSE,A2
at least,lexical_chunk,none,A2
at,preposition,ABILITY,B1
"at his/its, etc. best",lexical_chunk,none,B1
at (long) last,lexical_chunk,none,B1
at least,lexical_chunk,none,B1
at first,lexical_chunk,none,B1
at the same time,lexical_chunk,none,B1
at once,lexical_chunk,none,B1
at least,lexical_chunk,none,B2
at,preposition,AMOUNT,B2
at all costs,lexical_chunk,none,B2
at sb's disposal,lexical_chunk,none,B2
at fault,lexical_chunk,none,B2
at risk,lexical_chunk,none,B2
at the expense of sth,lexical_chunk,none,C1
at face value,lexical_chunk,none,C1
at a glance,lexical_chunk,none,C1
at hand,lexical_chunk,none,C1
at the very least,lexical_chunk,none,C1
at random,lexical_chunk,none,C1
at times,lexical_chunk,none,C1
at first sight,lexical_chunk,none,C1
at best,lexical_chunk,none,C2
at the best of times,lexical_chunk,none,C2
at a disadvantage,lexical_chunk,none,C2
at sb's expense,lexical_chunk,none,C2
at your fingertips,lexical_chunk,none,C2
at heart,lexical_chunk,none,C2
at issue,lexical_chunk,none,C2
at the latest,lexical_chunk,none,C2
at length,lexical_chunk,none,C2
be at liberty to do sth,lexical_chunk,none,C2
at a loss,lexical_chunk,none,C2
at a loss for words,lexical_chunk,none,C2
be at the mercy of sb/sth ,lexical_chunk,none,C2
be at odds with sb/sth,lexical_chunk,none,C2
be at a premium,lexical_chunk,none,C2
at this rate,lexical_chunk,none,C2
at any rate,lexical_chunk,none,C2
at your own risk,lexical_chunk,none,C2
be at stake,lexical_chunk,none,C2
athlete,noun,none,B1
athletic,adjective,none,B2
atmosphere,noun,FEELING,B1
the atmosphere,lexical_chunk,none,B2
atmosphere,noun,AIR INSIDE,B2
atom,noun,none,B2
atomic,adjective,none,B2
attach,verb,CONNECT,B1
attach,verb,COMPUTING,B1
